FOLLOW|2024-06-20 18:02:10|9790|1|0|1|0:52
FOLLOW|2024-06-26 22:14:12|9327|1|0|1|3:6
FOLLOW|2024-07-03 10:24:02|9159|1|0|1|0:52
FOLLOW|2024-07-03 10:26:41|9749|1|1|0|1:5
FOLLOW|2024-07-03 10:33:50|9627|1|0|1|0:40
FOLLOW|2024-07-03 10:39:49|9588|1|0|1|0:44
FOLLOW|2024-07-03 11:05:46|9263|1|0|1|0:46
FOLLOW|2024-07-03 11:10:58|9972|1|0|1|0:44
FOLLOW|2024-07-03 11:11:42|9569|1|0|1|0:13
FOLLOW|2024-07-03 11:12:33|9591|1|0|1|0:43
FOLLOW|2024-07-03 11:14:34|9776|1|0|1|0:42
FOLLOW|2024-07-03 11:23:19|9912|1|0|1|0:41
FOLLOW|2024-07-03 11:27:24|9393|10|6|4|3:42
FOLLOW|2024-07-03 11:51:43|9840|10|2|8|2:48
FOLLOW|2024-07-03 17:44:10|9373|100|3|97|3:44
FOLLOW|2024-07-03 17:51:09|9921|100|3|97|5:30
FOLLOW|2024-07-04 14:21:57|9193|100|4|96|4:37
FOLLOW|2024-07-04 14:59:20|9806|100|3|97|4:53
FOLLOW|2024-07-15 10:35:54|9568|1|0|1|0:41
FOLLOW|2024-07-15 10:37:05|9581|1|0|1|0:41
FOLLOW|2024-07-15 10:42:12|9546|1|0|1|0:39
FOLLOW|2024-07-15 10:45:11|9845|1|0|1|0:55
FOLLOW|2024-07-15 11:14:38|9283|1|0|1|0:49
FOLLOW|2024-07-15 11:15:43|9013|1|0|1|0:47
FOLLOW|2024-07-15 11:16:51|9019|1|0|1|0:20
FOLLOW|2024-07-15 11:18:06|9465|1|0|1|0:53
FOLLOW|2024-07-15 11:19:23|9625|1|0|1|0:45
FOLLOW|2024-07-15 11:25:52|9237|1|0|1|0:51
FOLLOW|2024-07-15 11:27:12|9788|1|1|0|1:10
FOLLOW|2024-07-15 11:30:05|9497|1|1|0|1:40
FOLLOW|2024-07-15 13:08:32|9679|1|1|0|0:52
FOLLOW|2024-07-15 13:10:28|9037|1|0|1|0:54
FOLLOW|2024-07-15 13:14:17|9243|1|0|1|1:37
FOLLOW|2024-07-15 13:18:33|9587|1|0|1|1:10
FOLLOW|2024-07-15 13:19:38|9767|1|1|0|0:46
FOLLOW|2024-07-15 13:21:47|9193|1|1|0|1:40
FOLLOW|2024-07-15 13:24:26|9228|1|1|0|1:12
FOLLOW|2024-07-15 13:27:07|9780|1|1|0|0:46
FOLLOW|2024-07-15 13:28:43|9261|1|1|0|1:14
FOLLOW|2024-07-15 13:32:38|9284|1|1|0|1:15
FOLLOW|2024-07-15 13:40:40|9770|1|1|0|1:42
FOLLOW|2024-07-15 13:58:01|9752|1|0|1|1:21
FOLLOW|2024-07-15 14:01:08|9257|1|1|0|1:38
FOLLOW|2024-07-15 14:05:40|9831|1|0|1|1:41
FOLLOW|2024-07-15 14:07:48|9883|1|1|0|1:11
FOLLOW|2024-07-15 14:09:35|9098|1|1|0|0:46
FOLLOW|2024-07-15 14:11:25|9769|1|1|0|1:12
FOLLOW|2024-07-15 14:14:45|9759|1|0|0|2:18
FOLLOW|2024-07-15 14:16:37|9982|1|0|1|1:12
FOLLOW|2024-07-15 14:18:37|9194|1|1|0|1:13
FOLLOW|2024-07-15 14:21:14|9430|1|0|1|1:23
FOLLOW|2024-07-15 14:23:56|9605|1|0|1|0:50
FOLLOW|2024-07-15 14:26:02|9666|1|0|1|1:10
FOLLOW|2024-07-15 14:27:24|9427|1|0|1|0:56
FOLLOW|2024-07-15 14:28:42|9605|1|0|1|0:43
FOLLOW|2024-07-15 14:29:46|9592|1|0|1|0:47
FOLLOW|2024-07-15 14:31:14|9398|1|0|1|0:52
FOLLOW|2024-07-15 14:37:10|9147|1|0|1|1:1
FOLLOW|2024-07-15 14:38:39|9680|1|0|1|0:47
FOLLOW|2024-07-15 14:44:45|9850|1|1|0|2:12
FOLLOW|2024-07-15 14:46:34|9825|1|0|1|1:17
FOLLOW|2024-07-15 14:47:47|9206|1|0|1|0:55
FOLLOW|2024-07-15 14:50:20|9492|1|0|1|2:12
FOLLOW|2024-07-15 14:52:55|9966|1|0|1|2:26
FOLLOW|2024-07-15 14:54:44|9770|1|0|1|0:25
FOLLOW|2024-07-15 14:55:54|9633|1|0|1|0:23
FOLLOW|2024-07-15 14:56:40|9928|1|0|1|0:22
FOLLOW|2024-07-15 14:58:03|9480|1|0|1|0:47
FOLLOW|2024-07-15 14:58:55|9192|1|0|1|0:23
FOLLOW|2024-07-15 15:01:09|9571|1|0|1|0:23
FOLLOW|2024-07-15 15:02:42|9138|1|0|1|0:22
FOLLOW|2024-07-15 15:05:57|9983|1|0|1|0:39
FOLLOW|2024-07-15 15:07:54|9292|1|0|1|0:24
FOLLOW|2024-07-15 15:10:27|6675|1|0|1|0:22
FOLLOW|2024-07-15 15:11:53|7295|1|0|1|0:25
FOLLOW|2024-07-15 15:15:24|2274|1|0|1|0:24
FOLLOW|2024-07-15 15:18:25|134|1|0|1|0:30
FOLLOW|2024-07-15 15:19:23|6157|1|0|1|0:31
FOLLOW|2024-07-15 15:19:58|916|1|0|1|0:27
